Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1990,1,23,2,1638,1630,1751,1723,US,29,NA,73,53,NA,28,8,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,24,3,1629,1630,1717,1723,US,29,NA,48,53,NA,-6,-1,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,25,4,1717,1630,1820,1723,US,29,NA,63,53,NA,57,47,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,26,5,1631,1630,1717,1723,US,29,NA,46,53,NA,-6,1,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,27,6,1636,1630,1723,1723,US,29,NA,47,53,NA,0,6,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,28,7,1621,1630,1714,1723,US,29,NA,53,53,NA,-9,-9,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,29,1,1702,1630,1744,1723,US,29,NA,42,53,NA,21,32,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,30,2,1628,1630,1717,1723,US,29,NA,49,53,NA,-6,-2,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,31,3,1650,1630,1737,1723,US,29,NA,47,53,NA,14,20,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,1,1,1820,1800,1941,1934,US,29,NA,261,274,NA,7,20,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,2,2,1859,1800,2019,1934,US,29,NA,260,274,NA,45,59,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,3,3,1853,1800,2020,1934,US,29,NA,267,274,NA,46,53,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,4,4,1844,1805,2002,1939,US,29,NA,258,274,NA,23,39,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,5,5,1808,1805,1926,1939,US,29,NA,258,274,NA,-13,3,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,6,6,1810,1805,1910,1939,US,29,NA,240,274,NA,-29,5,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,7,7,1822,1805,1927,1939,US,29,NA,245,274,NA,-12,17,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,8,1,1816,1805,1936,1939,US,29,NA,260,274,NA,-3,11,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,9,2,1911,1805,2014,1939,US,29,NA,243,274,NA,35,66,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,10,3,1807,1805,1926,1939,US,29,NA,259,274,NA,-13,2,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,11,4,1917,1805,2045,1939,US,29,NA,268,274,NA,66,72,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,12,5,1823,1805,1944,1939,US,29,NA,261,274,NA,5,18,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,13,6,1808,1805,1952,1939,US,29,NA,284,274,NA,13,3,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,14,7,1821,1805,2013,1939,US,29,NA,292,274,NA,34,16,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,15,1,1809,1805,1945,1939,US,29,NA,276,274,NA,6,4,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,16,2,1812,1805,2001,1939,US,29,NA,289,274,NA,22,7,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,17,3,2123,1805,2310,1939,US,29,NA,287,274,NA,211,198,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,18,4,1819,1805,1944,1939,US,29,NA,265,274,NA,5,14,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,19,5,1830,1805,1938,1939,US,29,NA,248,274,NA,-1,25,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,20,6,1834,1805,1953,1939,US,29,NA,259,274,NA,14,29,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,21,7,1807,1805,1914,1939,US,29,NA,247,274,NA,-25,2,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,22,1,1805,1805,1955,1939,US,29,NA,290,274,NA,16,0,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,23,2,1823,1805,2008,1939,US,29,NA,285,274,NA,29,18,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,24,3,1806,1805,1921,1939,US,29,NA,255,274,NA,-18,1,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,25,4,1906,1805,2025,1939,US,29,NA,259,274,NA,46,61,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,26,5,1812,1805,1946,1939,US,29,NA,274,274,NA,7,7,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,27,6,1806,1805,1948,1939,US,29,NA,282,274,NA,9,1,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,28,7,1806,1805,1936,1939,US,29,NA,270,274,NA,-3,1,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,29,1,1812,1805,1932,1939,US,29,NA,260,274,NA,-7,7,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,30,2,1812,1805,1945,1939,US,29,NA,273,274,NA,6,7,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,31,3,1824,1805,1949,1939,US,29,NA,265,274,NA,10,19,IND,LAX,1814,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,1,1,2020,2005,2056,2044,US,29,NA,36,39,NA,12,15,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,2,2,2103,2005,2147,2044,US,29,NA,44,39,NA,63,58,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,3,3,2055,2005,2134,2044,US,29,NA,39,39,NA,50,50,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,4,4,2038,2015,2101,2054,US,29,NA,23,39,NA,7,23,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,5,5,2018,2015,2058,2054,US,29,NA,40,39,NA,4,3,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,6,6,2019,2015,2054,2054,US,29,NA,35,39,NA,0,4,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,7,7,2014,2015,2051,2054,US,29,NA,37,39,NA,-3,-1,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,8,1,2015,2015,2055,2054,US,29,NA,40,39,NA,1,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,9,2,2047,2015,2124,2054,US,29,NA,37,39,NA,30,32,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,10,3,2015,2015,2116,2054,US,29,NA,61,39,NA,22,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,11,4,2119,2015,2200,2054,US,29,NA,41,39,NA,66,64,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,12,5,2017,2015,2054,2054,US,29,NA,37,39,NA,0,2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,13,6,2024,2015,2105,2054,US,29,NA,41,39,NA,11,9,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,14,7,2039,2015,2113,2054,US,29,NA,34,39,NA,19,24,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,15,1,2024,2015,2105,2054,US,29,NA,41,39,NA,11,9,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,16,2,2029,2015,2113,2054,US,29,NA,44,39,NA,19,14,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,17,3,2335,2015,7,2054,US,29,NA,32,39,NA,193,200,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,18,4,2013,2015,2052,2054,US,29,NA,39,39,NA,-2,-2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
